Table Contents:
+-----+---------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------+------------+
| ID  | SpeciesName                     | Description                                                                                                                                                                                                                                                       | Photo                                                                                                                          | Bird       |
+-----+---------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------+------------+
|   1 | Big Bluestem                    | Big Bluestem is a tallgrass native to the Great Plains. Known as the "king of the grasses," it provides excellent forage for wildlife and is key to prairie ecosystems.                                                                                           | https://upload.wikimedia.org/wikipedia/commons/2/25/Andropogon_gerardii_-_Big_Bluestem.jpg                                     | 0x00       |
|   2 | Texas Horned Lizard             | The Texas horned lizard, also known as the "horned toad," is a distinctive reptile with a flat body and sharp horns. It primarily feeds on ants.                                                                                                                  | https://upload.wikimedia.org/wikipedia/commons/2/2b/Texas_Horned_Lizard_%28Phrynosoma_cornutum%29.jpg                          | 0x00       |
|   3 | Buffalograss                    | Buffalograss is a drought-tolerant grass species found across the central and southern plains of the U.S., including Texas. It forms dense mats and is often used in xeriscaping.                                                                                 | https://upload.wikimedia.org/wikipedia/commons/0/0a/Bouteloua_dactyloides.jpg                                                  | 0x00       |
|   4 | Texas Spiny Lizard              | A medium-sized, tree-dwelling reptile with rough scales and camouflage coloring. Common in urban and rural environments.                                                                                                                                          | https://upload.wikimedia.org/wikipedia/commons/5/5e/Texas_Spiny_Lizard_%28Sceloporus_olivaceus%29.jpg                          | 0x00       |
|   5 | Texas Bluebonnet                | The Texas Bluebonnet is the state flower of Texas, known for its vivid blue petals and white tips. It blooms in the spring and thrives in open fields.                                                                                                            | https://upload.wikimedia.org/wikipedia/commons/d/d1/Texas_Bluebonnet_Lupinus_texensis.jpg                                      | 0x00       |
|   6 | Burrowing Owl                   | Small, ground-nesting owl with yellow eyes and long legs. Active in the day and commonly seen in prairie dog towns.                                                                                                                                               | https://upload.wikimedia.org/wikipedia/commons/e/e8/Burrowing_Owl_%28Athene_cunicularia%29.jpg                                 | 0x01       |
|   7 | Yucca                           | Yucca is a hardy desert plant with spiky leaves and tall white flower stalks. Common in West Texas, it thrives in dry, sandy soils and supports pollinators like moths.                                                                                           | https://upload.wikimedia.org/wikipedia/commons/3/37/Yucca_filamentosa.jpg                                                      | 0x00       |
|   8 | Black-tailed Prairie Dog        | Highly social, burrowing rodents that live in colonies. Known for their barks and complex underground tunnel systems.                                                                                                                                             | https://upload.wikimedia.org/wikipedia/commons/0/0a/Black-tailed_Prairie_Dog_%28Cynomys_ludovicianus%29.jpg                    | 0x00       |
|   9 | Mesquite Tree                   | Mesquite trees are resilient, thorny plants native to arid parts of Texas. Their seed pods are edible and they provide shade and food for wildlife.                                                                                                               | https://upload.wikimedia.org/wikipedia/commons/6/6e/Prosopis_glandulosa.jpg                                                    | 0x00       |
|  10 | Common Raccoon                  | A nocturnal mammal with clever hands and a black "mask" of fur. Often found foraging near water or in urban areas.                                                                                                                                                | https://upload.wikimedia.org/wikipedia/commons/1/1e/Common_Raccoon_%28Procyon_lotor%29.jpg                                     | 0x00       |
|  11 | Purple Prickly Pear             | A vibrant cactus with purple pads and yellow flowers, common in West Texas deserts. Its fruit is edible and high in vitamin C.                                                                                                                                    | https://upload.wikimedia.org/wikipedia/commons/0/0c/Opuntia_macrocentra_2.jpg                                                  | 0x00       |
|  12 | Yellow-faced Pocket Gopher      | A small burrowing rodent found in shortgrass prairies. It has large claws for digging and stores food in cheek pouches.                                                                                                                                           | https://upload.wikimedia.org/wikipedia/commons/4/4c/Yellow-faced_Pocket_Gopher_%28Cratogeomys_castanops%29.jpg                 | 0x00       |
|  13 | Maximilian Sunflower            | A tall perennial sunflower native to the Great Plains. It blooms in late summer and is important for pollinators and bird seed.                                                                                                                                   | https://upload.wikimedia.org/wikipedia/commons/e/e9/Helianthus_maximiliani_1.jpg                                               | 0x00       |
